,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
73,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(OC)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C(OC)OC)C=C1,1,2,O,C,OC,N(C)(C),C1=CC=CC=C1,[H],0.78726388,COC(OC)C(c1ccccc1)c1ccc(N(C)C)cc1
75,N(C)(C)C1=CC=C(C([H])(C)C([H])OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])(C)C([H])OCOC)C=C1,1,2,O,COC,[H],N(C)(C),[H],C,0.78878764,COCOCC(C)c1ccc(N(C)C)cc1
77,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OCOC)C=C1,1,2,O,COC,[H],N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.78965836,COCOCC(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
78,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,N(C)(C),[H],[H],0.78971278,COCOC(Cc1ccc(N(C)C)cc1)c1ccccc1
79,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC)C=C1,1,2,O,C,C,N(C)(C),C1=CC=CC=C1,C1=CC=CC=C1,0.78979441,COC(C)C(c1ccccc1)(c1ccccc1)c1ccc(N(C)C)cc1
80,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,N(C)(C),[H],[H],0.79262425,CN(C)c1ccc(CC(Oc2ccccc2)c2ccccc2)cc1
83,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C)OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)(C)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,N(C)(C),C1=CC=CC=C1,C,0.79586224,CC(Oc1ccccc1)C(C)(c1ccccc1)c1ccc(N(C)C)cc1
84,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OC3=CC=CC=C3)C=C1,0,1,N(C)(C)C1=CC=C(C(C2=CC=CC=C2)([H])C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],N(C)(C),C1=CC=CC=C1,[H],0.79803904,CN(C)c1ccc(C(COc2ccccc2)c2ccccc2)cc1
85,N(C)(C)C1=CC=C(C([H])([H])C(OC)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C([H])([H])C(OC)OCOC)C=C1,1,2,O,COC,OC,N(C)(C),[H],[H],0.79844719,COCOC(Cc1ccc(N(C)C)cc1)OC
87,N(C)(C)C1=CC=C(C(C)([H])C(Br)OCOC)C=C1,0,1,N(C)(C)C1=CC=C(C(C)([H])C(Br)OCOC)C=C1,1,2,O,COC,Br,N(C)(C),C,[H],0.7995628,COCOC(Br)C(C)c1ccc(N(C)C)cc1
91,N(C)(C)C1=CC=C(C(C)(C)C(Br)OC2=CC=CC=C2)C=C1,0,1,N(C)(C)C1=CC=C(C(C)(C)C(Br)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,Br,N(C)(C),C,C,0.80573947,CN(C)c1ccc(C(C)(C)C(Br)Oc2ccccc2)cc1
